Feature,Mean_Abs_SHAP
Cas_I-E,0.084513575
Cas_IV-A3,0.021734502
Spacer_Cluster_249,0.0070668575
Spacer_Cluster_220,0.0057534003
Spacer_Cluster_281,0.0040013622
Spacer_Cluster_29,0.0031505465
Spacer_Cluster_257,0.0014322556
Spacer_Cluster_14,0.00069489435
Spacer_Cluster_306,0.0003054496
Spacer_Cluster_148,0.0
Spacer_Cluster_110,0.0
Spacer_Cluster_1,0.0
Spacer_Cluster_221,0.0
Spacer_Cluster_245,0.0
Spacer_Cluster_234,0.0
Spacer_Cluster_248,0.0
Spacer_Cluster_2,0.0
Spacer_Cluster_229,0.0
Spacer_Cluster_230,0.0
Spacer_Cluster_213,0.0
Spacer_Cluster_0,0.0
Spacer_Cluster_268,0.0
Spacer_Cluster_267,0.0
Spacer_Cluster_266,0.0
Spacer_Cluster_265,0.0
