Feature,Mean_Abs_SHAP
Cas_I-E,0.19587642
Cas_IV-A3,0.037023928
Spacer_Cluster_213,0.0011247216
Spacer_Cluster_29,0.00031031115
Spacer_Cluster_1,0.0
Spacer_Cluster_148,0.0
Spacer_Cluster_2,0.0
Spacer_Cluster_220,0.0
Spacer_Cluster_221,0.0
Spacer_Cluster_229,0.0
Spacer_Cluster_230,0.0
Spacer_Cluster_234,0.0
Spacer_Cluster_245,0.0
Spacer_Cluster_248,0.0
Spacer_Cluster_249,0.0
Spacer_Cluster_254,0.0
Spacer_Cluster_257,0.0
Spacer_Cluster_265,0.0
Spacer_Cluster_110,0.0
Spacer_Cluster_14,0.0
Spacer_Cluster_0,0.0
Spacer_Cluster_268,0.0
Spacer_Cluster_267,0.0
Spacer_Cluster_266,0.0
Spacer_Cluster_269,0.0
